fid,ang_connectivity,ang_meandepth,class_connectivity,met_choice,met_choice_1000,met_choice_1250,met_choice_1500,met_choice_1750,met_choice_2000,met_choice_250,met_choice_2500,met_choice_3000,met_choice_500,met_choice_750,met_meandepth,met_meandepth_1000,met_meandepth_1250,met_meandepth_1500,met_meandepth_1750,met_meandepth_2000,met_meandepth_250,met_meandepth_2500,met_meandepth_3000,met_meandepth_500,met_meandepth_750,ang_choice,ang_choice_1000,ang_choice_1250,ang_choice_1500,ang_choice_1750,ang_choice_2000,ang_choice_250,ang_choice_2500,ang_choice_3000,ang_choice_500,ang_choice_750,ang_integration,ang_integration_1000,ang_integration_1250,ang_integration_1500,ang_integration_1750,ang_integration_2000,ang_integration_250,ang_integration_2500,ang_integration_3000,ang_integration_500,ang_integration_750,compteur,type_chemin,type_transport,jeu_7_9,jeu_11_13,jeu_17_19,sam_7_9,sam_11_13,sam_17_19
"2133",2.781173,8.7584476,3,18787,1797,3417,5549,7947,10487,29,14836,17739,205,742,1896.4269,699.83429,802.64777,931.37982,1077.9575,1285.8822,160.57466,1617.2494,1786.7025,356.14206,530.42169,324,1291,1231,976,800,839,10,1354,1347,128,703,377.16083,107.16316,130.74257,151.28737,175.42926,199.1266,10.643016,255.41994,314.5394,34.83659,67.384399,"00000","0","0",,,,,,
"2134",0.84214717,8.111558,2,17548,1682,3239,5289,7574,9913,30,13882,16616,196,687,1950.4716,697.35394,808.79041,930.13464,1067.1104,1265.0454,137.81337,1618.7458,1820.1558,352.88239,530.27106,3774,1245,1208,1199,1194,1351,14,2465,3181,116,683,406.71271,99.864922,132.79431,150.10846,172.01276,192.53584,12.083071,263.1886,330.80161,34.666882,66.560196,"00000","0","0",,,,,,
"2135",2.5199594,9.953249,3,7974,1343,1993,2705,3439,4464,42,6394,7487,301,696,1933.8273,679.79498,821.21222,947.4505,1100.0654,1304.566,129.70045,1634.6938,1831.8186,330.01117,504.78192,86,311,263,242,246,303,32,295,225,156,157,332.14761,75.801056,103.19884,126.44496,149.13686,167.73148,12.699739,225.92036,282.71176,29.918154,50.891148,"00000","0","0",,,,,,
"2136",1.791702,9.4359636,2,6543,1122,1725,2371,2971,3733,26,5279,6151,228,554,1969.2976,689.1922,840.04559,959.28632,1107.3285,1296.7139,118.40571,1644.7192,1852.7885,329.73618,505.04483,29,191,161,131,90,84,12,124,119,82,100,349.65277,69.777588,106.53409,135.34511,158.28336,175.93063,8.8335352,237.45943,290.0289,23.610111,42.591473,"00000","0","0",,,,,,
"2137",3.0001328,8.5103226,3,6782,1215,1871,2560,3197,3997,28,5575,6427,228,567,1962.0262,713.62592,846.17365,954.66943,1102.0668,1296.1112,168.95522,1637.6426,1842.7067,336.22824,506.96216,1321,343,481,518,582,671,4,1257,1528,72,143,388.03955,93.363548,137.38235,163.98134,189.78445,214.5303,10.111423,278.55893,336.69711,27.215136,59.18119,"00000","0","0",,,,,,
"2138",3.0014577,8.5682611,4,45169,4179,6078,7599,10301,15757,83,27789,37631,551,2009,1956.8431,634.98169,807.44696,961.56989,1134.6229,1323.1586,164.60695,1638.1388,1857.6243,312.18655,487.35974,4082,2995,2951,4020,4802,6562,40,9482,11035,633,1978,385.41971,86.666817,122.30927,154.30881,180.36157,206.12564,15.985982,254.83997,312.47198,37.608898,67.180237,"00000","0","0",,,,,,
"2139",1.9401187,8.5513716,4,48425,4079,5854,7408,10504,16406,61,29723,40547,535,1973,1891.5819,609.74524,792.30743,947.245,1143.0887,1318.8102,168.20168,1613.9114,1818.6344,334.96536,484.74484,5785,3317,3357,4722,5728,7853,26,11251,13422,593,2161,386.03961,87.678932,125.54321,159.5435,188.04112,209.46809,18.437464,264.57227,321.64792,45.354237,73.130333,"00000","0","0",,,,,,
"2140",3.0402074,8.5190554,4,52176,4595,6487,8338,12025,18595,73,32808,44093,635,2267,1814.5988,591.01434,768.53064,939.31824,1134.9631,1302.9027,159.97159,1581.884,1761.0083,334.47992,460.88785,9486,4215,4590,6364,7684,10211,40,14810,17869,713,2784,387.43381,102.03045,135.29315,163.54106,196.97696,218.444,19.441757,276.51477,330.87643,53.751873,76.438881,"00000","0","0",,,,,,
"2141",2.1465116,9.5369129,3,5877,1026,1637,2159,2814,3559,59,4886,5705,326,682,1862.8923,614.87653,788.05054,936.22778,1131.3774,1308.2729,157.51686,1600.4108,1789.0566,340.10446,483.48401,819,223,294,343,413,487,26,860,975,117,165,345.69083,74.38662,104.06304,133.13235,155.56349,175.57526,12.539381,228.42616,282.23187,36.230717,59.610554,"00000","0","0",,,,,,
"2142",0.79008168,9.6631155,2,6556,1025,1735,2306,2994,3810,69,5397,6371,288,645,1861.1029,636.18011,794.46539,930.74725,1118.9515,1312.3239,145.41316,1604.4429,1784.703,322.37057,494.75726,64,92,147,138,142,166,38,367,477,72,64,340.96191,73.971542,102.50372,125.10475,157.73645,174.42355,13.961538,238.99387,291.13678,31.113867,57.607452,"00000","0","0",,,,,,
"2143",0.8491956,9.2001219,2,9103,1302,2188,2959,3935,5115,92,7365,8783,338,789,1846.2783,640.85254,792.61761,929.21808,1116.4316,1314.4889,140.03276,1598.5928,1774.8077,313.70654,495.31744,719,267,383,400,470,545,70,1106,1430,99,169,359.39886,89.601952,124.02773,151.02753,177.49092,196.8316,15.712299,261.75009,326.27039,35.285389,65.707657,"00000","0","0",,,,,,
"2144",1.8368527,8.9591293,3,12309,1775,2895,3917,5278,6929,118,9994,11862,440,1052,1824.9896,633.19818,782.95264,922.57281,1110.8734,1304.729,125.0583,1589.462,1758.9948,310.12939,483.73099,2195,715,922,992,1236,1463,108,2600,3360,201,432,369.13959,97.251717,131.56625,160.92384,186.62178,207.09547,17.760077,274.82602,337.52951,39.640415,71.728271,"00000","0","0",,,,,,
"2145",2.5294642,7.6287875,4,87406,9761,14902,21709,31609,43560,151,64200,78549,1468,4822,1765.2339,572.71832,755.2301,934.31641,1124.6741,1290.9253,162.47247,1557.3125,1725.2245,329.41318,446.60464,46353,11651,15790,25562,37852,49176,111,66797,72432,1898,6637,433.04767,129.33949,172.30267,211.36101,251.53571,263.83051,27.835052,332.43747,372.26526,73.376022,89.707214,"00000","1","0",,,,,,
"2146",2.1938505,7.6255159,4,37082,6661,10200,15241,21442,26848,131,33320,36376,1121,3577,1783.8879,602.8877,765.4455,923.07617,1117.7599,1298.8036,135.77486,1564.2582,1733.3875,322.55884,460.38528,46797,8478,13832,23971,35999,45437,109,58347,65157,1492,5008,433.38376,125.94967,172.20291,210.32802,241.30998,262.0329,29.307911,324.7713,377.23117,72.601616,92.712418,"00000","1","0",,,,,,
"2147",2.3287582,7.5636802,4,38222,6379,10077,15216,21457,27011,138,34072,37438,951,3230,1782.1019,630.078,771.44031,916.46509,1107.7966,1295.2571,129.24161,1566.7783,1726.5045,319.48434,471.39069,48231,8108,13744,24081,35955,45377,117,58582,66036,1285,4513,437.5658,134.0316,181.84834,220.99644,246.51144,272.68762,29.423174,340.5162,391.53207,70.603249,100.38095,"00000","1","0",,,,,,
